"","text"
"76","apelikasimobile sangan bagus sele rumit pasang pilih provinsicuman jawa timuronline eror tolong apelikasiprovinsi jagan cuman jawa timut tera aplikasi"
"77","aplikasi"
"78","aplikasi ayan ganggu kerja sekal status selesai kali komplain ganggu aplikasi kali telepon dibenerin status selesai"
"79","aplikasi ayan masyarakat buruk lapor ganggu listrik tugas lokasi terang nyala selesai lihat kondisimohon developertugas lapang"
"80","aplikasi bagikutapi sayang lengkap bayartagih listrik bayar rubah daya"
"81","aplikasi bagus"
"82","aplikasi bagus asih info riwayat beli token ecek tagih listrik moga update info lengkap"
"83","aplikasi bagus bagus kalo ngisi token aplikasi saran"
"84","aplikasi bagus bantu ayanmasyarakat listrik alami ganggu"
"85","aplikasi bagus bantu langgan kait listriksaran fitur masuklanggan kantor kebun tagih listrik bayar kantor catat tagih pemakaian kwhnya terima kasih"
"86","aplikasi bagus bantu sekal langgan setiamobile terupdate bagusganggu langsung tanggap berik ayan"
"87","aplikasi bagus bantu sekal upgrade aplikasi prabayar ubah laku verifikasiselfi finally simpul banget"
"88","aplikasi bagus batas aplikasi implemetasi ayan realalami ganggu padam listrik tetangga kiri kanan nyala pakai meter tokenprabayar laporaplikasi catat kitaraneh riwayattulis lapor listrik rumah nyala menit laporpenanganan sekal"
"89","aplikasi bagus bermanfaatpelayanan cepat tugas ramah"
"90","aplikasi bagus coba hapus donlowd muncul jaring server eror kalo eror manusiaaplikasi eror"
"91","aplikasi bagus cuman respon erormohon bantuanya belitoken mesinmandiri trasaksi hasil saldo potong cuman setruktoken kertas habisapa bantu kirim ulangtokenyatrimakasih"
"92","aplikasi bagus daftar pakaisuruh foto wajah bawaaman takut disalahgunakan pinjam online mohon cerah"
"93","aplikasi bagus diupdate muncul historybeda update mohon"
"94","aplikasi bagus fitur kalo gojektugaskalo ganggu lokasi mantull jayasemangat"
"95","aplikasi bagus fungsi benah koneksi server notifikasipemberitahuan listrik padamtolong berik history aplikasinotifikasi hapus lihat kemarin tanggal notifikasi beli token hasil muncul beli token gagal muncul kali transaksi"
"96","aplikasi bagus implementasinyo buruk status keluh kerja close"
"97","aplikasi bagus info tagih tanggal aplikasitanggaltagih tolong info tagih trimakasih"
"98","aplikasi bagus informatif sempurna kena informasi tagih kirimlanggan bayar tagihjalan terimakali aplikasi sempurna akses data bayar tagih ecek langgan bayar tagih notifikasi sampa langgan"
"99","aplikasi bagus interfacenya simple keren sayang harga token bebas biaya adminbank mandiri kena biaya tolong kalobebasin biaya layan kalomobile"
"100","aplikasi bagus lapor keluh gampang banget simpel pantau progressnya aplikasi fiturnya moga fitur mudah langgan sukses"
"101","aplikasi bagus lihat history pemakaian listrik"
"102","aplikasi bagus maaf kasih bintang karene pilih metode bayarlink bank mandiri mohon metode bayar dana cocok metode bayarpulsa kuota token listrikgame"
"103","aplikasi bagus manfaat"
"104","aplikasi bagus masuk konfirmasi lapor selesai konfirmasi langgan tugas tugas jalan konfir selesai"
"105","aplikasi bagus memuaskanyatanggap tugas telatwajar tugas layan ganggu kerja tanggap lapor"
"106","aplikasi bagus mincuma ajuk pasangmobilepilih provinsi jawa timur tolong terimakasih"
"107","aplikasi bagus mudah"
"108","aplikasi bagus mudah ganggu"
"109","aplikasi bagus mudah langgan informasi putar listrik"
"110","aplikasi bagus opsi metode bayar lumayanaplikasi cetak struk koneksi printer blueooth mohon"
"111","aplikasi bagus pokok luarbiasa sukses"
"112","aplikasi bagus prlayanannya muas wilayah jatibarangindramayuteknisinya lambat masalh ganggu padam listrik"
"113","aplikasi bagus respon cepat bantu lapor rumah mati lampu bikin lapor lihat riwayat status tugas regu lampu nyala"
"114","aplikasi bagus saking bagus upgrade akun fotoselfie tolak nama profil suaiganti nama profil suaierror email pakai kudu piye aplikasi bantu sekalbantu sulit maksud"
"115","aplikasi bagus saran menu monitor listrik semangatmoga sehat"
"116","aplikasi bagus sayang apresiasi langgan bayar listrik tanggal bayar shopee lumayan diskon ribu rupiah wkwk"
"117","aplikasi bagus sayang gawaiteknisiattitude buruk teknisi koordinasi lapor kali respontunggu lapor ulang aplikasi telpon langsung daerahresponnyanyata bentak batal laporanya numpuktelepon kecewa banget"
"118","aplikasi bagus sayang sambung linkaja"
"119","aplikasi bagus sayang sulit verify upload foto selfiverify mohon diperbaikikeburu habis promonyaudah telp berxx aplikasi"
"120","aplikasi bagus sayangbilang ganguang sistemkosong coba pakaiorangmaslahnya"
"121","aplikasi bagus sekaldirespon cepat masuk aplikasi tolong edit rating salah pencet bintang rating edit betulin kasihan petugaalapang salah kasih rating kasih bintang sekal tolong edit bintang rating kolom riwayatterimakasih"
"122","aplikasi bagus sekedar saran metode bayarlink pakai dana aplikasi dompet digitalmudah langgan bayar"
"123","aplikasi bagus seringkali suai kenyataanya riwayattulis nyala kenyataanya nyala"
"124","aplikasi bagus sistem bayar beli token listrik aktif linkaja virtual bankkenapa sistem bayar biar murahuninstall dulunanti sistem saldo bayar install"
"125","aplikasi bagus titik lokasi rumah akurat baca lokasi tera maps kompas akurasi keluhlanggan titik lokasi salah tolong"
"126","aplikasi bagus tolong ditambahin informasi pemakaianpemakaianinformasicatat tanggal pencatatn krosceck suai nilai buruk gawai catatutama terima kasih"
"127","aplikasi baguscuma bingungsaldonyautk bayar tagih listrik kalo"
"128","aplikasi bagusdaerah nyata notif otomatis moga stroomnet mengcover daerah daftar langsung aplikasi usul poin transaksiaplikasimobile tukar token voucher undi"
"129","aplikasi baguslapang reallisasi"
"130","aplikasi baguslayan aplikasi sayang mutasi nama rekening aplikasi mohon lengkap ayan aplikasi upgrade akun upgrade akun lihat historynya dayaupgrade layan daya lihat history bayar"
"131","aplikasi bagusmasyarakat kantor lakulaporaplikasi monitor progres keluh bravo"
"132","aplikasi bagusnamun upgrade akun verifikasi fotopencet tombol ambil gambar mohon"
"133","aplikasi bagussangat bantu"
"134","aplikasi bagussaya suka listrik langsung hidup terimakasihmobile"
"135","aplikasi bagustapi coba kalo beli token listrik pakai pulsapasti enekkhususnya orang rekening paham uang digitalitu gampang simpel"
"136","aplikasi bagustapi sayang smulasi daya mohon trimksh"
"137","aplikasi bagustoken gratis download"
"138","aplikasi bantu"
"139","aplikasi bantu alami error beli tokenaplikasi mobile banking beli gagal saldo akun bank pangkas xdisaat ajukkait token beli aplikasimobile bantu token tsbthanksmobile chat servicemelayanigoodjobgreat worksemoga maju jaya"
"140","aplikasi bantu aplikasi memberitahukan mati lampu good"
"141","aplikasi bantu bayar tagih pandemi susah rumah bayar tagihkena tagih bayar mudah laku proses cepat bayar aman"
"142","aplikasi bantu efektif cepat menangani likstrik rumah"
"143","aplikasi bantu efektif tugas plnnya langsung gercep lokasi mantap terima kasih"
"144","aplikasi bantu hemat masyarakat kantorlaku bayar"
"145","aplikasi bantu keluh dadak padam malam cepat respon"
"146","aplikasi bantu keluh langganaduk keluh ganguanlangsung tindak tugasterima kasih ayan"
"147","aplikasi bantu kkantormnyampaikan kluhan kasih bintang"
"148","aplikasi bantu langganbayar tagih listrik"
"149","aplikasi bantu langganmantaptingkat ayan sejahtera rakyat indonesialaunching program stroomnet rakyat butuh informasi cepat kualitas murah"
"150","aplikasi bantu langganmoga tugas fast respon terima lapor ganggu tolong cantum nomor tugas area tanggung ganggu listrik padam"
"151","aplikasi bantu lapor keluhtoken kali tindak sekal selesai doang rumah"
"152","aplikasi bantu layan informasi plbln"
"153","aplikasi bantu lihat riwayat tagih langsung pascabayar"
"154","aplikasi bantu mending hapus aplikasi lapor kali respon sekal"
"155","aplikasi bantu mudah keluh keluh listrik tertentupelayanan tugas gercep fastrespon langsung ditanganii sukses sehat moga sehat lancar jalan tugas bpkpetugasterimakasih"
"156","aplikasi bantu mudah orang manfaat tenaga listrik"
"157","aplikasi bantu mudah sekal terimakasih"
"158","aplikasi bantu pantau pemakaian listrik histori pemakaian listrik lihat mohon histori pemakaian listrik lihat terima kasih"
"159","aplikasi bantu pelangganterhadap instalasi listrik rusak"
"160","aplikasi bantu pemilihan jalur cepat wangi musik bagus ramah barang suai ekspektasi trimasi kasih"
"161","aplikasi bantu praktis informasi bantu konsumenpemasangan daya tagih listrikganggu"
"162","aplikasi bantu respon cepat moga bagus"
"163","aplikasi bantu responhadap keluh customer cepat tanggap mogamaju terima kasih"
"164","aplikasi bantu rumah mati lampu pagilapor tanggapmalam"
"165","aplikasi bantu sekal terimakasih"
"166","aplikasi bantu sinergilanggan kadang oknum tugas respon sengaja contoh diam padam lapor menutetangga padam statusselesai padamstatussala padam status nyalastatus selesai"
"167","aplikasi bantu status lapor mohon hati penanganan status selesai"
"168","aplikasi bantu subsidi"
"169","aplikasi bantu tagih madam listrik progress jaring rusak benah payment sistem saldo ecommerce problem urus terimakasih"
"170","aplikasi bantu terima kasihmobile"
"171","aplikasi bantu trimakasihkembang fitur"
"172","aplikasi bantu tugas temu titik wilayah alami ganggu kelistrikannamun saran kerja selesai closingsalam sehatpln mantap kerja kerja kerja"
"173","aplikasi bantu verifikasi fotopengaruh smartphone"
"174","aplikasi bantulistrik"
"175","aplikasi bantutoken simpeljd programmudah ajuk"
"176","aplikasi bermanfaatdi token habis mudahlanggan nomor meter aplikasi sulit ubah titik lokasi"
"177","aplikasi bikin kecewabeli token pakai metode bayar virtual accountnotifikasinya gagaldan uang nyangkutpadahal aplikasi lainkalau gagal uang refund otomatis rekening"
"178","aplikasi bingung baca lokasi langgan kalosyarat baca lokasi ujung ujung langsung kantor"
"179","aplikasi bohong"
"180","aplikasi bohong status nyala tugas regu fakta padam jamkonsumen bayar listrik gratis hujan petir mati jampln ganti rugi dagang rusak lokasi pltu menit mati betkalibecus utus listrikkkk kinerja paksa rubah bintang"
"181","aplikasi buang daya pakai npwp aplikasi anjir"
"182","aplikasi buka klik aplikasilangsung sendirigaksistem aplikasiterhentiandroid"
"183","aplikasi buruk aplikasi ayan"
"184","aplikasi buruk sesuaitiap login"
"185","aplikasi buruk status keluh fakta lapang parah ayan"
"186","aplikasi buruk suai lapang"
"187","aplikasi cepat lapor ganggu kait"
"188","aplikasi coba fitur beli tokentransaksi gagal saldo potong lapor ganggumobiletercloseselesai notifikasi langgan endingnya teleponsaran fitur notifikasiterclose fitur langgan meresponselesa status closed biar close tugas"
"189","aplikasi donld susahpasang listrikpaakk mintak tolong bantu"
"190","aplikasi eror"
"191","aplikasi eror menu langgan pilih titik koordinat lokasi muncul tampil pilih provinsi muncul jawa timur provinsi tolong aplikasi mudah"
"192","aplikasi eror saar verifikasi ambil fotodayadata tindaklanjut data ulang ulang layan primadigital maksimal layan offline kantor"
"193","aplikasi error coba kali kali daftar daya gagal"
"194","aplikasi error hubung server tampil tarikfiturbikin pusing"
"195","aplikasi errrroooooorrrrrrmasa lokasi jawa timur jawa pakai habis uninstal"
"196","aplikasi erti kerja daftar kali login bilang email daftar sila pilih lupa password coba ganti password hasil login pakai aplikasi kalo sulit"
"197","aplikasi force close verify profileandroid octa core spec"
"198","aplikasi hubung aplikasi biaya data internetuntuk aplikasi fungsi tersebuttolong admin berik akses hubung aplikasi hemat pulsa"
"199","aplikasi inci cantum tagih"
"200","aplikasi instal masuklanggan muncul batas maksimaldaftarkosong alias"
"201","aplikasi jaminayan tugas langsung respon cepat tindak langsung kerja terimakasih"
"202","aplikasi jelek uang rakyat pakai bikin aplikasi abal daftra wlopun pakai emaildeteksi daftar aneh"
"203","aplikasi jelek upgrade akun verifikasi akunpotolangsung"
"204","aplikasi kadang lemot submit daya pesan mohon prosesmessage available coba telp solusi"
"205","aplikasi kasih menu lihat sisa token biar repot lihat kwhnya langsung dengar alarm pantau aplikasi sisa tokennya"
"206","aplikasi kasih rating terima nelpon customer ubah ratingnya kotjakmadam listrik tanggepi maksimal rating"
"207","aplikasi kekuhan tindak tugas rumah tolongrealitaterimakasih"
"208","aplikasi keluh lapor kali teknisi konfirmasiphone status selesai"
"209","aplikasi keren moga manfaat langgankembang inovasi layan layanmudah akses simplifikasi puas langgan"
"210","aplikasi kerja handset root"
"211","aplikasi kerjaroot"
"212","aplikasi klik pasang propinsi pilih suai daerah alamat biar langsung orang"
"213","aplikasi konfirmasitolong customer libat status kerjastatus selesai"
"214","aplikasi kontlobikin bocah mudah kesel gara aplikasi sial"
"215","aplikasi lancar cpat tunggu"
"216","aplikasi langgan nyaman lapor kehandalan listrik"
"217","aplikasi lapor salah tulis laporlapor suai ajar tugas"
"218","aplikasi layan langganmasuk bayarayan dayaaplikasimobile rupa aplikasi efektif efisien rupa aplikasi kembang"
"219","aplikasi lemot error setting metode bayar link saldo saldo linkaja sinkron"
"220","aplikasi lemot labih bagus update"
"221","aplikasi lengkap pasang pilih provinsi malu"
"222","aplikasi listrik"
"223","aplikasi login muter reset password masuk"
"224","aplikasi logindata suailanggan gemanalanggan tinggal"
"225","aplikasi lumayan bagus lahtapi keluh oknum tugasecek meter bayar listik segitu ajatrims"
"226","aplikasi lumayan membantutapibanget daya"
"227","aplikasi lumayan update layan stroomneticon tiang listrik rumah pasang kabel fibertercover tugas kabel internetmenghub kantor wilayah info langganpasang lokasi pinggir jalan utama hitung warga cari langgan titik sulit mohon sulitpengin maju"
"228","aplikasi maksimal fasilitas konfirmasi gawai konsumen maksimal"
"229","aplikasi manfaat"
"230","aplikasi manfaat bangetbisa beli token rumah"
"231","aplikasi manfaat foto meter listrik lainlain salah info tagih diulangulang notifikasi info tagih selisih menit mohon terima kasih"
"232","aplikasi manfaat pasang domisili jawa timur munculjakarta kalo lengkap rilis aplikasi bijakonline"
"233","aplikasi manfaat saldo"
"234","aplikasi manfaat tingkat"
"235","aplikasi manfaathistori pemakaian bantu"
"236","aplikasi manfaatkait listrik rumah mudah mantab"
"237","aplikasi mantab mincocok bikin lapor ecek tagihansemua mudahtingkatkan fiturnya"
"238","aplikasi mantap bantu mohon tingkatmetermeter terima kasih"
"239","aplikasi mantap fiturtolong transaksi bayar tagih lunas bayar cetak bentukaplikasi kirimemail bantu terima kasih"
"240","aplikasi mantap informatif kadang lambat loading informasi butuh mudah mudah aplikasi responsif"
"241","aplikasi mantaprespon tugas cepat"
"242","aplikasi membantucuma metode bayar beli token kurangklau bayar bris"
"243","aplikasi membantutp tolong tingkat cepat proses verifikasi token listrik langgan cepat nomer stromnyaterima kasih"
"244","aplikasi menu daftarlokasi splu spklu"
"245","aplikasi menu ganggu konsumen lapor ganggu madam listrik status lapor selesai alias tertangani teknisi lapang nyata listrik padam kali lapir"
"246","aplikasi menu pasang provinsijawa timur"
"247","aplikasi merespon keluh konsumen status lapor tugas regu jalan kerja selesai tugasmobile"
"248","aplikasi mmbntu trmksh"
"249","aplikasi mohon pemasangan masuk alamat masak munculpilih"
"250","aplikasi muas"
"251","aplikasi mudah beli pembayarab listrik lapor ganggu keren history beli bayar listrik rumah moga aplikasi tunjang pasang mudah masyarakat terima kasihjaya semangat listrik indonesia pelosok daerah tinggal khusus tugassehat siagajaga ketenagalistrikan salam"
"252","aplikasi mudah beli tokenbayar listrik proses ubah daya pasang lapor ganggukalihubung terima kasih"
"253","aplikasi mudah cari informasi kenaaplikasi bantu laku pembayaranpengaduan dllterimakasih"
"254","aplikasi mudah coba promo daya nyata cepat sekal proseskeren"
"255","aplikasi mudah dimengerti bantu best pokok"
"256","aplikasi mudah masyarakat lapor listrik disekitarnya tugas cepat tindak moga aplikasi tugas kerja maksimal"
"257","aplikasi mutu"
"258","aplikasi nomor stroomtokentransakasi suruh kantornelplangsung kasih info nomor stroomnya mending uninstal"
"259","aplikasi orang tunggu listrik padam direspon keluh"
"260","aplikasi parah verifikasi akun foto jepret"
"261","aplikasi pasang listrikaplikasi muncul pilih provinsi provinsi jatim fitur customer service tunggu balas chat otomatis"
"262","aplikasi pasang tulis jawa timur aplikasi mohon"
"263","aplikasi payah"
"264","aplikasi payahtidak nampilkan nomer token hilang"
"265","aplikasi percayaditangani riwayat status selesai benahkali status tunggusekal tiada kecewa status riwayat"
"266","aplikasi pokokkecewa situs fictur lengkap lupa downloadmobilecoba langsung download"
"267","aplikasi praktis bayarbelinya"
"268","aplikasi promo srtoomnet klik layanmaksimal"
"269","aplikasi responnya"
"270","aplikasi ribet"
"271","aplikasi rumit banget antri urut urut"
"272","aplikasi rusak lapor versi"
"273","aplikasi sampah ganggu muli"
"274","aplikasi sekal keluh langsung direspon tangani terimakasih tugasjuos gandos"
"275","aplikasi selesai lapang bingungtoken periksa bocor periksatoken periksa pakaimobile lambat cepat pakailangsung solusi bingung"
"276","aplikasi sibuk error tolong"
"277","aplikasi stabil force close tampil menu bingung mending versi"
"278","aplikasi status nyala nyalaaaaaa aplikasi"
"279","aplikasi sungguh mengecewakansaya laporpagisore tugasdatanghedeeehhh"
"280","aplikasi susah ganti passworddicoba ulang buka email error"
"281","aplikasi susahkeluh fast responsusah aplikasi tunggu tanganilangsung kode masuk selesai"
"282","aplikasi terupdatemau dftar pemasangan listrik akses cuman jawa timur live chat cust service macet tengahdan solusi"
"283","aplikasi tugas area sinkron statusselesai padam konfirmasi kena ganggu status selesai padam kejar target respontime recoverytime"
"284","aplikasi tugas error lapor kerja selesai nyala heiiipln nyala"
"285","aplikasi tugas lamban"
"286","aplikasi ukur gede banget"
"287","aplikasi update fitur sisa token meter prabayar langgan"
"288","aplikasi upgrade akun foto ambil foto"
"289","aplikasi upgrade akun kali kirim tolong sulit"
"290","aplikasi upgrade nomor langgan simpan hilang ipdel orangparrah data pemakaian hilang anjir rrrr"
"291","aplikasi zaman listrik layan aplikasi mantap"
"292","aplikasiaplikasi jelek"
"293","aplikasibagus banget suka mohonmunculmohon aplikasi"
"294","aplikasibagus membantudi mohon mtode bayar lgiterutama bank"
"295","aplikasibagus semenjak baharu upgrade akun cakep proses upgrade macet useless layan aplikasi sempurna mogadengar"
"296","aplikasibagussangat bantu sekaliterima kasihmuntaprumah listrik matigangguan pahamkarena sore kunjung nyalaakhirnya bukamobileklik pengaduanlalu kirimbaru menitsdh telepon tugasperbaikanlangsung konfirmasiterima kasih plnmantap"
"297","aplikasibagustapi teknisi volltase drop vudah blanlamalama peraltan elektronik rumah rusak"
"298","aplikasibagustp real lapang sekalibelum kerja aplikasi nyatasalatugas laku pemeriksaan"
"299","aplikasibantu"
"300","aplikasibayar listrikmobile april hasil lunashistory aplikasimobile prosesewalet lunas aplikasi"
"301","aplikasibeli tokennongol tokenpmbyaran berahasibcaga jelasmasa kalah aplikasi cpetpdhalpunyagudang"
"302","aplikasibohong tugas suruh ulas"
"303","aplikasicepat tanggap menangani lapor"
"304","aplikasicontoh sajasaya kali kirim berita beli token hasilbeli token listrik pasca bayar"
"305","aplikasih jelek tanggap muas kansetiap lapor jawapan"
"306","aplikasikebukamohon bantu"
"307","aplikasilambat merespon"
"308","aplikasilancar notofikasi pemberitahuan bayar scan ribet pergi kantor bayaraplikasimohon tingkat cepat loadingnya terimakasih"
"309","aplikasiloading"
"310","aplikasilumayan kinerja teknisibohong mbuat lapor aplikasi listrik nyala tulis nyala bohong tumbuh bibit koruptor"
"311","aplikasimaju konsumen lapor kantorkalilistrik padam guys padam rencana padam rencana padam rencana pemeliharaan kabel konstruksi jaringlistrik kitar padam rencana ganggu lokal hewan sengat listrikpohon robohdll intipadam rugi"
"312","aplikasimobile bantu memuaskanpelayanannya cepattkspln"
"313","aplikasimobile bantu sekal urus daya prosescepatsempat kecewa beli pulsa listrik sekal alhamdulillah hubung custamer servis ayanselesai"
"314","aplikasimobile kerja modahdan cepat"
"315","aplikasimobile kirim kodekalo meter tulis periksa terimakasih"
"316","aplikasimobile responsif menangani keluh langgan khusus fitur live chatnya thanksmobile"
"317","aplikasimobile sentuh hati langgan bayar pakai ribet biaya adminrupiah youre amazinglightindonesia"
"318","aplikasimobile susah tolong aplikasimudah sekal buka langsung lihat token listrikusaha"
"319","aplikasimobile terbaikapapun amda listrik aplikasi mogagemilangdigital tuntas tatap goooood"
"320","aplikasimobile tolong stan stan meter langgannominal bayar nominal terima kasih"
"321","aplikasimobilebangetbeli token biaya admin info madam lapor ganggu daya bisasemuanya aplikasi komplit bangetdownload manfaat"
"322","aplikasinotifikasi beli token berhasilkadang beli token gagalpadahal beli apajdi khawatirtagih bengkak"
"323","aplikasiokcmn tindakkurangmohon tindak laanjuti keluh langgan"
"324","aplikasioktapi respon krureguatau unitsigapatau responterima kasih"
"325","aplikasipakai bantu ganggu meter kerja langsung nyala maaf pakaimobile"
"326","aplikasirespon"
"327","aplikasisisa pulsa aplikasi"
"328","aplikasisngat baguserti kerjatugaspahamaplikasi tugascepat merespon keluh pelanganmaksihtugas"
"329","aplikasitanggal bayar tagih hilangtagih kalo"
"330","aplikasitanggap informasi berik suai formkecewa"
"331","aplikasitoken digit angka beli"
"332","aplikasix lihat sisa tokenpulsaandroin mencitnyata kecewa"
"333","appsudah tingkat beli token masukmanual mengcopytempel file pengaduanjangan closedselesaibatas nopaling nomor catat meter lapor berik reward discont tarik"
"334","apresiasi trobosanpandemi inovasi mudahmudahanberik ayan masyarkat"
"335","april gratis token listrikbuka"
"336","area kota malang muas respon pelayanannyabelumlapor ditangani"
"337","assalamu alaikum mohon maafsero listrik alami madam tiada henti malam madam wilayatulung selapan kitar puasa jarang makan sahur dikeheningan malam gelap gulita telepon tugas bilang ganggu wilayah kitarganggu tugas peralatanya"
"338","assalamualaikum mohon maafpusat pemindahan tiang listrik kena biyaya alam belimatiganti tiang listrikpakai suai alamattiang listrik pindah suaialamt kena biyaya ribu bayar trksh"
"339","assalamualaikum warahmatullahi wabarokaatuh bantulistrik rumah mati meter cantum tulis periksa maafdana biaya anggur uang bayar tugas"
"340","assalmualaikum mohon maafaplikasi download kagak bukadirootstandar"
"341","autentikasi gagal login"
"342","ayan"
"343","ayan bagus"
"344","ayan bagus mudah langgan cepat muas"
"345","ayan bagus orang ramah sombong cepat selesaiperkejaaanrapi pokok muas"
"346","ayan bagustingkat masyarakat layan maksimal"
"347","ayan baikcepat tanggap tugas lapang terima lapormasyarakatsemogaterang neger pelosok neger"
"348","ayan buruk"
"349","ayan buruk kali coba keluh auto selesai status mati lampu liatomatamakan gaji buta"
"350","ayan buruk listrik pdam lapor aplikasi riwayattbtb selesai datanfg heran nagihcepat gilir ganggu bantususah ampun ayan buruk"
"351","ayan buruk mati lampu alas minggu mati lampu mati lampu aneh bayar bengkak aneh kecewa"
"352","ayan buruk norespon madam listrik khususdaerah priukbawang sekal komplaint listrik"
"353","ayan buruktanggapkeluarga tidur tunggu tugas"
"354","ayan buruktlfnaplikasi respon"
"355","ayan cepat"
