"","text","score","sentiment"
"1195","sayang kasih bintang coba unduh pasang meter konfirmasi alamat suai titikmasuk alamat propinsi propinsi jawa timur propinsi bintangkalo propinsi aplikasi",4,"Positif"
"519","diskon token gratis orang kasih bintang",1,"Positif"
"449","bintang tindak kasih bintang",1,"Positif"
"2441","masuk aplikasi daftar",-1,"Negatif"
"998","mohon maaf menuakses kolom blankmenu",1,"Positif"
"660","kampung haur spaneng",0,"Positif"
"1934","aplikasi kekuhan tindak tugas rumah tolongrealitaterimakasih",-2,"Negatif"
"2411","coba verifikasi akun susah langkah foto identitas gambar ciut tolong",-2,"Negatif"
"2894","klaim",-1,"Negatif"
"1624","bayar listrik kalo mati lampu mati lampu gilir bayar suruh cepatbayar mati lampu",-1,"Negatif"
"1411","tolong fitur pemasangan listrik",1,"Positif"
"1902","bingung",-1,"Negatif"
"1444","tugas lapor kerja langsng nyala walo padam hubung tugas ecek terima kasih bantu",2,"Positif"
"2419","kovid gagal cobanamtibintamya",-1,"Negatif"
"2478","jelek aplikasifoto selfie foto bagusrekamgelap situs plnnya plncoid daftar kode verifikasi mulu direfresh kali kalidigital aplikasi downgrade",-3,"Negatif"
"1012","mohon titik lokasi mapssuai alamat",0,"Positif"
"2095","aplikasi susah ganti passworddicoba ulang buka email error",-3,"Negatif"
"1463","upgrade akun buka aplikasi upgrade verifikasi mohon",0,"Positif"
"708","kerja cepat bagus",2,"Positif"
"2060","tolong sedia fitur catat meter langgan pascabayar biar catat meter tanggal batas kadang lupa",-1,"Negatif"
"947","mobail muas",0,"Positif"
"1145","rekomendasi aplikasimobile bagus bantu mudahbayar tagih listrik langsungbintang langsung",1,"Positif"
"16","akun verifikasi login angkat angkat tolong terima kasih",3,"Positif"
"1976","butuh token stimulus gagal pakai discount sekal",-1,"Negatif"
"1430","transaksinotifikasitoken takutuang langgan habis jelastapi keluh suruh hubung call center solusi",0,"Positif"
"978","moga manfaat langganjaya",1,"Positif"
"949","mobil sagat batu pulang",0,"Positif"
"2691","live chat eror jaring stabil putus mending aplikasikecewa beli token hasil kode",-1,"Negatif"
"556","fitur pasang",1,"Positif"
"2204","bikin laporstasusnya selesai kabel putus tempel selokan",-1,"Negatif"
"2952","aplikasi manfaat foto meter listrik lainlain salah info tagih diulangulang notifikasi info tagih selisih menit mohon terima kasih",-1,"Negatif"
"757","layan sigap cepat maturuywun",2,"Positif"
"2329","meter tulis eror",-2,"Negatif"
"1578","salah catat angka meter angka menu hapusphoto input ulang mohon info",-1,"Negatif"
"1209","selesa kerja fungsi",2,"Positif"
"1868","bintangnyatetap semangatlapang moga lelah",-1,"Negatif"
"2469","aplikasi bagus tolong ditambahin informasi pemakaianpemakaianinformasicatat tanggal pencatatn krosceck suai nilai buruk gawai catatutama terima kasih",-1,"Negatif"
"2714","status selesai payah",-1,"Negatif"
"2538","ayan bagus orang ramah sombong cepat selesaiperkejaaanrapi pokok muas",-1,"Negatif"
"871","mantap beli produk listrik",1,"Positif"
"1816","terimakasih tanggap cepat rumah desa tugascari temu keluh meter terimakasih",-1,"Negatif"
"1420","tolong metode bayarpakai dana",0,"Positif"
"1161","respon sekal meter limit mohon tugasgagal masuk token",0,"Positif"
"2298","susah daftarmobile inipadahal penuh kriteria indak",-1,"Negatif"
"1387","token gratis kena dampak covid berlaku",0,"Positif"
"2615","proses bayarbayar aplikasi kecewa aplikasi batalrubah batalaplikasi icon batalsekal kesankayak pemaksaan coba",-2,"Negatif"
"1867","masuk walupun daftar uninstall",-1,"Negatif"
"1315","terima kasihmobilesukses",1,"Positif"
"2586","aplikasi bagustapi coba kalo beli token listrik pakai pulsapasti enekkhususnya orang rekening paham uang digitalitu gampang simpel",-1,"Negatif"
"1142","ralat ulas mohon maaf tugas",1,"Positif"
"1061","nyata gantipemberitahuan lumayan panikslesai ganti gratis",1,"Positif"
"2270","sisa pulsarealtime fiturpulsa informasi tampillangganslow respon",-1,"Negatif"
"2779","daftar akunemail sekal pakai cantum email pakai",-1,"Negatif"
"1682","lokasi bekas titik suai provinsi pasang jawa timur aplikasi payah",-1,"Negatif"
"328","banget kian bayar tagih nyata lihattagih murah bayar kasih",2,"Positif"
"1608","mati lampu nyalatindak",-1,"Negatif"
"1218","serverdaya input npwpterima kasih",0,"Positif"
"2195","cekat butuh buru dkerjakan meter karyawancekat buru dkerjakan lempar cari orang alasstok kosong jaga malam bagus langsung shift pagingeselinnnsore astaghfirullah alazim tolong giat kerja",-5,"Negatif"
"2711","penanganan lambat",-1,"Negatif"
"844","manfaat kegunaaya optimalsemoga manfaat bayar shopeemetode bayar barukalo kasih bintang",5,"Positif"
"2842","camat sungai bahar kabupaten muaro jambi mati lampusolusi rugi orang",-3,"Negatif"
"1285","terima kasih bantu nyamudahan slmanya pulsa gratis senang masyarakat indonesia milik pulsa gratissangat bantu urang ekonomi masyarakat indonesiasuksesindonesia cinta",5,"Positif"
"759","layangenggam daya riwayat bayar listrik beli pulsa listrik riwayat beli pulsakeluh layanmobile terima kasih",3,"Positif"
"334","bantu ayan ramah cepat moga responsif",3,"Positif"
"879","mantap kirim aplikasi ayan langgan cepat",2,"Positif"
"222","aplikasimobile responsif menangani keluh langgan khusus fitur live chatnya thanksmobile",1,"Positif"
"2024","mogacepat respon nyata benahaman data ayan rawan sekal pungli",-2,"Negatif"
"2496","menu merubahedit data hasil ubah data buruk",-1,"Negatif"
"1247","suka update",0,"Positif"
"694","kelas bumn receh beli aplikasi vendor profesional beres",1,"Positif"
"170","aplikasi mantap fiturtolong transaksi bayar tagih lunas bayar cetak bentukaplikasi kirimemail bantu terima kasih",5,"Positif"
"387","bantuaplikasimobilesemua info akurat mantap",1,"Positif"
"2790","verifikasi akunkenapa gagal ambil foto ktpsampai verifikasi gagal thanks thanks proses verifikasi",-2,"Negatif"
"2384","bagus notifikasi ganggu jaring daerah daftar akun klik kosong",-4,"Negatif"
"1754","aplikasi bohong",-1,"Negatif"
"2470","notifikasi beli token hasil kadang notifikasi beli token gagal ulang laku transaksi tolong beneri curiga",-2,"Negatif"
"1752","coba test aplikasi iniklo ayandaerah baguskali listrik byar pettmalam kali mati dadakanmaka ncoba aplikasi respon",-1,"Negatif"
"1451","uangeh pulsa listrik bunyiaduh untung aplikasimabile",2,"Positif"
"723","komensemia jadiya dunia",0,"Positif"
"2762","mohon maaf lapor bibik sabtu maret aplikasibibik pakai android hubungkirim nomer bibik aprilmerespon hubung merespon mohon ayan maksimal listrik rumah bibik ganggu trimakasih",-2,"Negatif"
"1518","yuyun yuhaeni alami sulit masuklistrik harga ribu daya",1,"Positif"
"818","maaf bintang aplikasi ayan planburuk",2,"Positif"
"2828","ecek tagih masuklanggan dipaste",-1,"Negatif"
"895","mantul kerbis",0,"Positif"
"1340","terimakasih responnya",0,"Positif"
"1837","akun efektif bingung",-1,"Negatif"
"1388","token gratiskhusunya januari kalo kemari januari",0,"Positif"
"2892","lapor ganggu sespon area hubung kali",-2,"Negatif"
"1988","notifikasi info padam nyala update daerah mati lampu beritahu",-1,"Negatif"
"2331","lapor tindaktulis selesai sala padam",-1,"Negatif"
"1685","kalikantorlapor aplikasi kali lapor aplikasi tindak telepon kali riwayat terang dtangani selesai realdatangfu lapor solusi",-1,"Negatif"
"988","mohon bantu klik gambangmuncul pilih tetanga padam kali hapus data",0,"Positif"
"1729","real kaya hasil lapor ganggusuai lapangandi status lapor nyala selesai lapang padam",-1,"Negatif"
"2320","lengkap stand meter stand meter",-1,"Negatif"
"2442","tolong tingkatnyakadangbutuhdikirimbuat lapor",-1,"Negatif"
"2519","daftar online pemasangan meter listrik pasang cipta korupsi calo kinerja buruk",-3,"Negatif"
"1234","statusaplikasi aktual akurat statuskerja orangrumah",0,"Positif"
"2529","buka kali hapus play storedariarahdownload",-1,"Negatif"
"711","kerjasusah risi",0,"Positif"
"458","buka",0,"Positif"
"177","aplikasi mmbntu trmksh",0,"Positif"
"651","kali laporkirimhasilmohon maaf lapor brlum sila coba aplikasi",0,"Positif"
"2914","aplikasi jelek upgrade akun verifikasi akunpotolangsung",-1,"Negatif"
"114","aplikasi bantu langganbayar tagih listrik",0,"Positif"
"2049","upgrade ribet rumit aplikasi",-1,"Negatif"
"2851","mudah aplikasimobile rusak langsung ditindaklanjuti mohonbabelan masuk list daerah teluk pucung masukmedan satria mohon tingkat kinerjadaerah april kali mati lampu terimakasih",-1,"Negatif"
"457","buah langkah majumajudigital teknologi mudah langgan laku pembayaranpengaduandll moga semangat terang neger",1,"Positif"
"1149","respon cepat",1,"Positif"
"1293","terima kasih tugastanggap keluh terima kasih jasa moga sehat semangat kerja amin",3,"Positif"
"2366","buruk",-1,"Negatif"
"395","bayar kalo baca virtual acount",0,"Positif"
"100","aplikasi bagusnamun upgrade akun verifikasi fotopencet tombol ambil gambar mohon",0,"Positif"
"2490","lapor field history muncultitik wilayah muncul kotak warnatutuphistory mohon difix terinakasih",-1,"Negatif"
"910","membanru",0,"Positif"
"1274","terbaiklaporanaplikasilangsung datengudah pesimisdatengnyatrnyta gercepterima kasihbanyumas",0,"Positif"
"2218","meter susahtoken tulis periksa",-1,"Negatif"
"916","mendaftarka subsidi listrik",1,"Positif"
"576","ganggu camat menangani camat laku camat waduhhhh bingung terang selesai fakta lapang moga benah kacaumantap",2,"Positif"
"2176","susah verifikasi",-1,"Negatif"
"1583","kalitagih muncul idpl blokir terussssssssss",-1,"Negatif"
"402","bayar tagih dana",0,"Positif"
"894","mantul",0,"Positif"
"614","history bayar",1,"Positif"
"1497","verifikasi gbisa foto fungsi aplikasi cetak struk laku bayar",2,"Positif"
"2101","foto selfi gelap",-1,"Negatif"
"1876","akses mohon pasang hilang aplikasi tolong tingkat",-1,"Negatif"
"2571","aplikasi payah",-1,"Negatif"
"1229","sippp goodayan manfaat sigap cepatbravo",2,"Positif"
"1942","area kota malang muas respon pelayanannyabelumlapor ditangani",-1,"Negatif"
"1623","benerin listrik pakai aplikasi cekik harga promonya murah lokasi mahal ampun",-1,"Negatif"
"2356","mudah banget lapor ganggu",-1,"Negatif"
"2688","daftar verivikasi status proses yahemnktrimanya",-1,"Negatif"
"1951","link linkaja sempurna angkasaldo linkaja syariah berita info madam pemeliharaan jaring hilang info madam rutin",-2,"Negatif"
"1253","super life light",1,"Positif"
"972","moga berik ayan fasilitas promo tarik langgan",1,"Positif"
"2009","ganggu tunggucepat",-1,"Negatif"
"2277","eror bugnyaduit tinggal pilihpintarngirit layan masyarakat",-1,"Negatif"
"448","bintang pakai lapor direspon cepat lapang cepat diaplikasijadi kayakaplikasi kalo bagus bintang",4,"Positif"
"492","coba klaim gratis diskon dayajanuari inipadahal diskon bersubsidiko download aplikasimobilemohon",0,"Positif"
"2707","notifikasi info padam nyala update daerah mati lampu beritahu",-1,"Negatif"
"1675","benerin listrik pakai aplikasi cekik harga promonya murah lokasi mahal ampun",-1,"Negatif"
"1996","responkomen lapor proses proses",-1,"Negatif"
"2925","date aplikasimobile gilir klik update mesti update",-1,"Negatif"
"302","bagus mudah",0,"Positif"
"2386","solusibeli token listrik bayarbriva mesinstruk bayarsaldo potong aplikasi proses beli gagal uang lapotkanterima kasih",-1,"Negatif"
"668","kasih bintang full biar ayan seriussudahdata upgradeproses doang tulisannyatpi kerjain",0,"Positif"
"1552","area kota malang muas respon pelayanannyabelumlapor ditangani",-1,"Negatif"
"2373","respon hadap lapor masyarakat kelisrikan tanggap bagusmogaterusmajuindonesia",-1,"Negatif"
"1159","respon layan tugas cepat ramah daya butuh proses selesai pasangpekanbarupanam salam hormat sigap cepat aplikasimobiletingkat utama verifikasimohon ubah verifikasi langkah emailtelepon mudah bobol terima kasih",5,"Positif"
"165","aplikasi manfaat tingkat",1,"Positif"
"852","mantab fast respon gercep penanganannya",1,"Positif"
"1900","daftar",-1,"Negatif"
"1491","verifikasi ambil fotogagal foto centang atapun next",0,"Positif"
"1070","pakai aplikasi komenya susul",0,"Positif"
"116","aplikasi bantu layan informasi plbln",0,"Positif"
"824","maaf subsidi pulsa grtis",3,"Positif"
"2497","aplikasi bagusmasyarakat kantor lakulaporaplikasi monitor progres keluh bravo",-1,"Negatif"
"804","luas jaring link kerja mitra kerja contoh bayar pakai payfazz pilihanya tanks",5,"Positif"
"506","daptar april masuk masuk",0,"Positif"
"806","lumayan bagus",1,"Positif"
"1208","selamat sukses",2,"Positif"
"1579","terimakasih bantu cari informasi sampa keluh langgan",-2,"Negatif"
"573","gakjelas banget susahdata sulit akses titik lokasi sukar pemakaian aplikasi tulis nama delay jaring internet aplikasi mohon upgrade mudahkunjungterkaitdan erti tingkat mutu ayan",0,"Positif"
"2451","mohon kalo idpel blokir kompensasi tagih listrik berik pemberitahuan langgan",-2,"Negatif"
"630","informasi tagih informasi bayar aplikasi khusus pasca bayar bayar aplikasi",0,"Positif"
"2574","aplikasi bantu mudah keluh keluh listrik tertentupelayanan tugas gercep fastrespon langsung ditanganii sukses sehat moga sehat lancar jalan tugas bpkpetugasterimakasih",-1,"Negatif"
"2431","aplikasi bagus tolong ditambahin informasi pemakaianpemakaianinformasicatat tanggal pencatatn krosceck suai nilai buruk gawai catatutama terima kasih",-1,"Negatif"
"1850","coba menu lihat sisa token alert alarm aplikasi token habis meter listrik bunyi",-2,"Negatif"
"878","mantap kembang teknologi upgrade hasil",0,"Positif"
"2524","aplikasi bagus prlayanannya muas wilayah jatibarangindramayuteknisinya lambat masalh ganggu padam listrik",-2,"Negatif"
"1978","susah verifikasi foto",-1,"Negatif"
"2380","sengaja kasih servernya eror suruh upgradetanggap",-1,"Negatif"
"2788","moga aplikasi langsung hubung pusat lapor gangguonline tanggap laporganggu listrik padam",-1,"Negatif"
"209","aplikasibagustp real lapang sekalibelum kerja aplikasi nyatasalatugas laku pemeriksaan",3,"Positif"
"1139","pungsiselesai selesaitapitindaklanjuti",0,"Positif"
"1515","wilayah jateng layan pasang mobaile",0,"Positif"
"2730","aplikasi erti kerja daftar kali login bilang email daftar sila pilih lupa password coba ganti password hasil login pakai aplikasi kalo sulit",-2,"Negatif"
"2352","ayanbagus orang lapang kerja orang sopan omongseakanakan paksa ancamcard ragam surat tugassurat tugas bentak",-1,"Negatif"
"1244","sudirman",0,"Positif"
"1920","server error",-1,"Negatif"
"703","kenapah buka sayah donlot aplikasinyah buka kakak",0,"Positif"
"1543","daftar bilang email daftar pakai fitur lupa sandi email masuk aplikasi fake real",-2,"Negatif"
"2399","lapor aplikasi kecewa dalamn lapor kali respon tugas aneh nyala progres lapor trtulis nyala selesai manual admin nyata bohong progres selesai suruh pilih rating berik rating bintang plus deskripsi ulas kecewa kirim",-4,"Negatif"
"1043","muncul tulisanmaaf madam kitar rumahmati",0,"Positif"
"2830","respon hadap lapor masyarakat kelisrikan tanggap bagusmogaterusmajuindonesia",-1,"Negatif"
"2402","online masak keliru administrasi suruh kantorangelangelllll",-1,"Negatif"
"945","minn verifikasiambil fototekanbingkai mohon cepat butuh ayan terimakasih",1,"Positif"
"1661","cobamasih verifikasi datakalau pemakaian listrik transparanoh alangkah baiknyatidak curi listrikmerugitidak prasangka masyarakat listriksegitudan oknum ambil untung jaya plnjaya indonesia",-2,"Negatif"
"2960","ayanstop manuver keluh pelangansoto",-1,"Negatif"
"56","amplikasi bantu",1,"Positif"
"1164","responcepat kereennnn ngabisi pulsa telpon layanthanks rekomended banget listrik rumahwork",2,"Positif"
"1407","tolong buka menumoohon bantu",1,"Positif"
"905","masyarakat",0,"Positif"
"87","aplikasi bagus saking bagus upgrade akun fotoselfie tolak nama profil suaiganti nama profil suaierror email pakai kudu piye aplikasi bantu sekalbantu sulit maksud",1,"Positif"
"1135","pulsa gratis token berita coba gratis beli mulu erti",2,"Positif"
"397","bayar link aktifklik muncul popupnonya daftar sila masukmaksud",0,"Positif"
"1719","ayanjelek kalititik selesai statusupdate pokok jelek mutu ayan parah",-1,"Negatif"
"1351","terimakasihdesa aplikasimobile layan ganggumudah tugas ramah tanggap kalo ayankasih mogamasyarakat",0,"Positif"
"2667","aplikasi bagus coba hapus donlowd muncul jaring server eror kalo eror manusiaaplikasi eror",-4,"Negatif"
"76","aplikasi bagus informatif sempurna kena informasi tagih kirimlanggan bayar tagihjalan terimakali aplikasi sempurna akses data bayar tagih ecek langgan bayar tagih notifikasi sampa langgan",0,"Positif"
"1349","terimakasihbantu responnya cepat",1,"Positif"
"981","moga pelayananya hadap konsumen tingkat terima kasih",1,"Positif"
"2621","aplikasi payah",-1,"Negatif"
"1485","verifikasi akun diplnfotopencet tombol menfotonya",0,"Positif"
"1398","token listrik masuk",0,"Positif"
"2285","real kaya hasil lapor ganggusuai lapangandi status lapor nyala selesai lapang padam",-1,"Negatif"
"2146","suruh update susah update",-1,"Negatif"
"903","masuk solusiadmin",0,"Positif"
"1639","ribetkontak mnentu apliksi eror susah",-2,"Negatif"
"695","keluhtangani ayan unitwilayah imogiri",0,"Positif"
"1257","tampilbedaaplikasi buka muncul tulispeduli covid tolongbantu",0,"Positif"
"1663","aplikasiaplikasi jelek",-1,"Negatif"
"585","good fast respon thanks",0,"Positif"
"1199","sayang pakai dompet dana metode bayar",2,"Positif"
"904","masuk token pencet token listrikgagal",0,"Positif"
"923","menu minim promo metode bayar luassyariahmenu chat",1,"Positif"
"1052","niat verifikasi akun tolak aplikasi khusus internal keluarga",0,"Positif"
"1036","mudah murah sayang nomer tokenproses",1,"Positif"
"2155","akurat lapor tetang padamlistrik aplikasi sala nyala",-1,"Negatif"
"1021","muda bayar",2,"Positif"
"1703","masuk susah bangetsedang ganggu jaring terusmohon info",-2,"Negatif"
"644","kacautoken listrik tokennya saldo link potongteman transaksi",0,"Positif"
"1143","rating bintang kasih nyata aplikasi gampang beli token ajuk keluh mudah cepat biaya transparan",2,"Positif"
"1835","mantapcepat tanggap keluh masyarakat langsung ditanganiterima kasihmoga muas langgan",-1,"Negatif"
"1320","terimah kasihmobile mudah layan gratis",1,"Positif"
"752","layan cepat",1,"Positif"
"2194","urusmeter hilang lupalangganpindah rumah tinggal",-2,"Negatif"
"1649","aplikasi bagusmasyarakat kantor lakulaporaplikasi monitor progres keluh bravo",-1,"Negatif"
"1383","token gratis januari",1,"Positif"
"1242","subsidi kali dapatudh beli token nomer token kadaluarsa",0,"Positif"
"324","baguus bantu",1,"Positif"
"401","bayar tagih",0,"Positif"
"120","aplikasi bantu pantau pemakaian listrik histori pemakaian listrik lihat mohon histori pemakaian listrik lihat terima kasih",2,"Positif"
"755","layan manfaat langsung tanggap",1,"Positif"
"909","media bayar komplit fintect bank negara swasta baran kartu kredit",1,"Positif"
"2000","terima kasih keluh meter listrik prabayar ditangani tugaslapang meter listrik ganti biayasemogamobile cepatsigap menangani keluh masyarakat",-2,"Negatif"
"737","lakupasuruan tangapanrespontkota",0,"Positif"
"2959","beli token pakaiiniada nomr gagal token saldo debit kepotongmasingsaldo rugi syasolusinya",-2,"Negatif"
"2","admin langsung laku terima kasih aplikasikasih bintang kembang",2,"Positif"
"2733","alhamdulillah telpon langsung respon langsungganti kabel salur tiang rumah terkelupasdi tunggubesok ganti kabelterimakasih tugas",-1,"Negatif"
"568","fototombol foto fungsi",1,"Positif"
"2316","chatloadng lemot mohon",-1,"Negatif"
"2177","susah verifikasi akunpadahal gambarfokustpi",-1,"Negatif"
"1106","pilih provinsi cuman jawa timur doang",1,"Positif"
"1869","sistem aplikasi fotoselfi gagal",-1,"Negatif"
"946","mmbantu",0,"Positif"
"2437","simulasi hitung beli tokencetak invoice stand meter",-1,"Negatif"
"2008","tanggap lapor listrik daerah mati",-2,"Negatif"
"1727","stimulus tokennya klaimdesember token klaim tanggal caricari alamat website whatsmobile mohon info",-1,"Negatif"
"83","aplikasi bagus mincuma ajuk pasangmobilepilih provinsi jawa timur tolong terimakasih",1,"Positif"
"1313","terima kasihmobile lakukait ganggu listrik komplek lurah pencil langsung respon menit selesa terima kasih kinerjaperistiwa malamditangani tugascamat pandan terima kasihbagus",2,"Positif"
"340","bantu bggtttsaya keluh listrik padam tiang listrik langsung hubung oranglangsung sigapmksh siaga",0,"Positif"
"2932","praktis bolak standmeter tagih tampil",-1,"Negatif"
"1154","respon cepat pngerjaan cepat gawairamahgood",2,"Positif"
"735","laku update aplikasi premium akun fitur aplikasi mantap mudah langgan konsultasi aduk keluh putar listrik",0,"Positif"
"1918","tolong tingkatnyakadangbutuhdikirimbuat lapor",-1,"Negatif"
"656","kalistatus riwayatselesai matimohon maaf aplikasi yasoalnyakali",1,"Positif"
"2414","menu merubahedit data hasil ubah data buruk",-1,"Negatif"
"1971","terimakasihmobileanda bantu kamiuntuk lapor kalo ganggu listrik tmpat",-1,"Negatif"
"1045","nama ahyar kelluhan seple denggannomor tuken gagal paktorlampu mati pulsa mohon bantu",0,"Positif"
"2450","aplikasi payahtidak nampilkan nomer token hilang",-1,"Negatif"
"2295","aplikasi bagus sayang gawaiteknisiattitude buruk teknisi koordinasi lapor kali respontunggu lapor ulang aplikasi telpon langsung daerahresponnyanyata bentak batal laporanya numpuktelepon kecewa banget",-2,"Negatif"
"1038","mudah ribet terimakasih inovasi",0,"Positif"
"1633","baguslayan ubah dayacuman layan kalo turun layan layan",-1,"Negatif"
"2605","senangmobile rusak ganggu tugas langsung cepat tanggap tingkatbiar lengkap fiturnya terima kasih",-1,"Negatif"
"133","aplikasi bantu verifikasi fotopengaruh smartphone",1,"Positif"
"1394","token listrik gratis sihkok siipdhaldapatkatanya",1,"Positif"
"697","kemarin ganggurusak selesai pakaiselesai terima kasih",1,"Positif"
"2781","aplikasi orang tunggu listrik padam direspon keluh",-1,"Negatif"
"2235","aplikasi mudah cari informasi kenaaplikasi bantu laku pembayaranpengaduan dllterimakasih",-1,"Negatif"
"997","mohon maaf masuk aplikasi kerja didevice diroot",2,"Positif"
"1198","sayang mode bayar lengkap mode ewaletgopay bayar transfermohon aplikasi ayan pengaduhan langsung merespon langgankeluh",4,"Positif"
"1941","lambat penanganan ganggu",-2,"Negatif"
"2800","madam rumah tanggalbarusan lapang tugas terima kasih keperdulianlangganmasuk tugas teknis informasi langgan lapor masuk informasi maju",-1,"Negatif"
"592","grafik pemakaian hilang fitur bantu lihat pemakaian",1,"Positif"
"1617","usul mudahtoken prabayar cari token beli diinput meter listrik otomatis masuk praktiss salam",-1,"Negatif"
"2644","kilometer listik rumah kena bnjir dudalam kilo metertolong dicectakut bahaya",-2,"Negatif"
"2079","lambat sekal ayan kurg muas",-1,"Negatif"
"488","coba aplikasientar bagus bintang",1,"Positif"
"262","ayan mantap lapor bentar langsung tangani terimakasih",0,"Positif"
"2695","susah sekal verifikasi data proses foto mati tangkap gambar",-3,"Negatif"
"898","masuk",0,"Positif"
"2336","aplikasi eror",-1,"Negatif"
"1896","usul mudahtoken prabayar cari token beli diinput meter listrik otomatis masuk praktiss salam",-1,"Negatif"
"213","aplikasibohong tugas suruh ulas",0,"Positif"
"2061","coba komen orang bagus moga",-1,"Negatif"
"1297","terima kasihaplikasi repot buang pulsa telp call centre",0,"Positif"
"1100","pengindunia medsos",0,"Positif"
"1327","terimakasih bayar suai meter",1,"Positif"
"849","mantaaaap mudah",0,"Positif"
"537","effortless keren",1,"Positif"
"1307","terima kasihkhususampenan bantu aplikasi bantu mudah management fast respon rumah pimpinanya terima kasihanggri",3,"Positif"
"1162","responajuk catat bintang mohon laku ecek lapang case anggap selesai costumerpelanggan tutup keluh laku",0,"Positif"
"1141","ragupakai aplikasimobile nyata ayancepat daerahsalatigasambas kalbar tingkat",0,"Positif"
"1350","terimakasihberik ayan masyarakat indonesia",0,"Positif"
"248","ayan cepat tanggap",1,"Positif"
"2724","migrasi turun daya adafair daya menumobile",-1,"Negatif"
"1784","alhmdllah begutu lapor langsungalhamdulillah lamputerang kerjaramah sopan",-1,"Negatif"
"2874","knapameter listrik vsetiap pakai turun colokin turun",-2,"Negatif"
"214","aplikasicontoh sajasaya kali kirim berita beli token hasilbeli token listrik pasca bayar",0,"Positif"
