"","text","score","sentiment"
"75","aplikasibagustapi teknisi volltase drop vudah blanlamalama peraltan elektronik rumah rusak",-2,"Negatif"
"76","lambat menangani lapor pagi malam pagi tugas listrik rumah mati total",-5,"Negatif"
"77","aplikasi buruk aplikasi ayan",-1,"Negatif"
"78","aplikasi bagus respon cepat bantu lapor rumah mati lampu bikin lapor lihat riwayat status tugas regu lampu nyala",-1,"Negatif"
"79","terimakasih tanggap cepat rumah desa tugascari temu keluh meter terimakasih",-1,"Negatif"
"80","server error",-1,"Negatif"
"81","ubah nomoralas daftar masuk nomor kalo lapor ganggu data langgan tugas ubung",-2,"Negatif"
"82","area kota malang muas respon pelayanannyabelumlapor ditangani",-1,"Negatif"
"83","turun daya susah sekal proses",-2,"Negatif"
"84","tolong tingkatnyakadangbutuhdikirimbuat lapor",-1,"Negatif"
"85","buruk sekal ayan live chatnya respon kali respon etik chat lebar sekal balaslive chatnya",-1,"Negatif"
"86","mati lampu kali lapor sekal timbal balikx",-2,"Negatif"
"87","madam tulis selesai nyala nyala tugas",-1,"Negatif"
"88","mohon info kampung salah gardu infoaplikasi repot tukanghubungmobile rumahnormalsebelum tukangrumah listrik error nyala mati nyala matipaslistrik mati nyala ajahkatagardupaslagih listrik normal enakhehehe",-4,"Negatif"
"89","aplikasi klik pasang propinsi pilih suai daerah alamat biar langsung orang",-1,"Negatif"
"90","mati lampu nyalatindak",-1,"Negatif"
"91","kecewa",-1,"Negatif"
"92","kecewa aplikasi lokasi pemilahan unitdisuruh hubung",-1,"Negatif"
"93","reset password klik link kirimemail linknya reload",-1,"Negatif"
"94","hujan angin layan wajarganggu tugas ramah terimakasih layananan batas",-1,"Negatif"
"95","lapor listrik padam sirkuit bakar tugas statusselesai mati lampu oakan busuk ikan oada matilapor kali tanggap",-4,"Negatif"
"96","hancur parah ayan jelek lelet",-4,"Negatif"
"97","aplikasi bagus prlayanannya muas wilayah jatibarangindramayuteknisinya lambat masalh ganggu padam listrik",-2,"Negatif"
"98","suruh ganti nomer aplikasimobile arti nomer nomer langgan suruh paksa aplikasinomer linkmobilesemangat langgan kecewa aplikasi bantu masyarakat indonesia maju",-2,"Negatif"
"99","usul mudahtoken prabayar cari token beli diinput meter listrik otomatis masuk praktiss salam",-1,"Negatif"
"100","errorsaat lapor keluhangangguan",-1,"Negatif"
"101","meter susahtoken tulis periksa",-1,"Negatif"
"102","daftar list pemakaian kait lihatterima kasih",-1,"Negatif"
"103","chatloadng lemot mohon",-1,"Negatif"
"104","autentikasi gagal login",-1,"Negatif"
"105","benerin listrik pakai aplikasi cekik harga promonya murah lokasi mahal ampun",-1,"Negatif"
"106","bayar listrik kalo mati lampu mati lampu gilir bayar suruh cepatbayar mati lampu",-1,"Negatif"
"107","notifikasi info padam nyala update daerah mati lampu beritahu",-1,"Negatif"
"108","aplikasi payah",-1,"Negatif"
"109","respon hadap lapor masyarakat kelisrikan tanggap bagusmogaterusmajuindonesia",-1,"Negatif"
"110","nama online gilir komplin komplain suruh kantor suai unit layan konsumenanak remaja ribet",-2,"Negatif"
"111","lokasi bekas titik suai provinsi pasang jawa timur aplikasi payah",-1,"Negatif"
"112","aplikasi erti kerja daftar kali login bilang email daftar sila pilih lupa password coba ganti password hasil login pakai aplikasi kalo sulit",-2,"Negatif"
"113","mobile bantu mudah langgan ecek bayar tagih listrik lapor ganggu",-1,"Negatif"
"114","lapor keluhselesai ghoib",-1,"Negatif"
"115","baguslayan ubah dayacuman layan kalo turun layan layan",-1,"Negatif"
"116","cekat butuh buru dkerjakan meter karyawancekat buru dkerjakan lempar cari orang alasstok kosong jaga malam bagus langsung shift pagingeselinnnsore astaghfirullah alazim tolong giat kerja",-5,"Negatif"
"117","praktis bolak standmeter tagih tampil",-1,"Negatif"
"118","mastik aplikasi akurat cobariwayat transaksi muncul beli token ribu salah aplikasi cobastatus transaksi",-1,"Negatif"
"119","aplikasi error coba kali kali daftar daya gagal",-3,"Negatif"
"120","ganggu tunggucepat",-1,"Negatif"
"121","ribetkontak mnentu apliksi eror susah",-2,"Negatif"
"122","tulis periksa meter listrik hidup meter tulis periksatunggu orang",-2,"Negatif"
"123","mantap listrik mati lapor langsung tindak kasih bintang",-1,"Negatif"
"124","lihat tagih bayar pasca bayaraplikasi gagal",-1,"Negatif"
"125","real kaya hasil lapor ganggusuai lapangandi status lapor nyala selesai lapang padam",-1,"Negatif"
"126","pakaiinstal aplikasi daftar buka aplikasi",-1,"Negatif"
"127","lapor meter prabayar tulis periksa layan pasword tugas ngisi tunggu tugas",-1,"Negatif"
"128","bingung sekal aplikasi daftar alas nomor email jujur bingung konfirmasi kait data pribadi",-2,"Negatif"
"129","hujan angin layan wajarganggu tugas ramah terimakasih layananan batas",-1,"Negatif"
"130","lokasi jawajawa timur hadeeh pasang daftar aplikasi susah",-2,"Negatif"
"131","aplikasi bagusmasyarakat kantor lakulaporaplikasi monitor progres keluh bravo",-1,"Negatif"
"132","aplikasi ayan masyarakat buruk lapor ganggu listrik tugas lokasi terang nyala selesai lihat kondisimohon developertugas lapang",-1,"Negatif"
"133","aplikasicepat tanggap menangani lapor",-1,"Negatif"
"134","lapor aplikasi layarmeter prabayar rumah mati respon",-3,"Negatif"
"135","biaya dayakeva omlistrik dirumh mati masak nasi",-1,"Negatif"
"136","versipeduli covidmohon informasi",-1,"Negatif"
"137","mohon updatean beli ulas sala karnakan lokasi sala mohon lengkap chat costumer live instan melapur",-2,"Negatif"
"138","salah catat angka meter angka menu hapusphoto input ulang mohon info",-1,"Negatif"
"139","update lemotmw chatsusahampunbrkali gagal snyal stabil kecewa",-1,"Negatif"
"140","errorsaat lapor keluhangangguan",-1,"Negatif"
"141","lapor ganggu ribetsering force close lapor tolong langgan ganggu mahal bayar ayan murah",-3,"Negatif"
"142","ayan bagus orang ramah sombong cepat selesaiperkejaaanrapi pokok muas",-1,"Negatif"
"143","cobamasih verifikasi datakalau pemakaian listrik transparanoh alangkah baiknyatidak curi listrikmerugitidak prasangka masyarakat listriksegitudan oknum ambil untung jaya plnjaya indonesia",-2,"Negatif"
"144","kalikantorlapor aplikasi kali lapor aplikasi tindak telepon kali riwayat terang dtangani selesai realdatangfu lapor solusi",-1,"Negatif"
"145","aplikasiaplikasi jelek",-1,"Negatif"
"146","sesal habis update ribetriwayat tagih simpleupdate password gagal work update passwordpakai password mesti masuk email inputsupport pakai nama tulis login pakai emailgoogle form inputlogin email designvangkee",-4,"Negatif"
"147","lapor ganggu mudahbeli token byar listrik mudahkirim angka meter mudahtambah daya main mudahtoppaplikasi",-3,"Negatif"
"148","oengajuan keluh listrik mati aplikasi tulis jalan lacak lokasi berubahd aplikasi tulis nyala kenyataanya padamaplikasi",-5,"Negatif"
"149","tolong tertib tugas nakal mengantimeteran listrikgartis pumutan biaya takut orang awambandar lampung kalo bayar katak bayar kalo suaipusat bayak rumah umpama ribu bayanganti metergantipandemi kayak cari ring beban trimaksi",-2,"Negatif"
"150","aplikasiokcmn tindakkurangmohon tindak laanjuti keluh langgan",-2,"Negatif"
"151","kecewa layan plnkwhtoken lapor kantor tanganisaya lapor jumat tugassangatkecewa",-3,"Negatif"
"152","respon hadap lapor masyarakat kelisrikan tanggap bagusmogaterusmajuindonesia",-1,"Negatif"
"153","hallooanehkalo totalin tagih biayatotalkali lipat",-1,"Negatif"
"154","lapor selesai tindak",-2,"Negatif"
"155","penanganan lambat",-1,"Negatif"
"156","lambat sekal ayan kurg muas",-1,"Negatif"
"157","benerin listrik pakai aplikasi cekik harga promonya murah lokasi mahal ampun",-1,"Negatif"
"158","masuk susah bangetsedang ganggu jaring terusmohon info",-2,"Negatif"
"159","jelek aplikasifoto selfie foto bagusrekamgelap situs plnnya plncoid daftar kode verifikasi mulu direfresh kali kalidigital aplikasi downgrade",-3,"Negatif"
"160","aplikasi ayan ganggu kerja sekal status selesai kali komplain ganggu aplikasi kali telepon dibenerin status selesai",-2,"Negatif"
"161","komplain tiang listrik beton pasang selesa",-1,"Negatif"
"162","terimakasih bantu cari informasi sampa keluh langgan",-2,"Negatif"
"163","napayah transaksi sinikrna malas transperny beli token masuk ngisi tokenny dawlot aplikasi",-1,"Negatif"
"164","lokasi bekas titik suai provinsi pasang jawa timur aplikasi payah",-1,"Negatif"
"165","susah registrasimeteran susahdesak listrikklo maximal onlinesediakan lapor offline biar memilihini darurat coba",-3,"Negatif"
"166","bagus notifikasi ganggu jaring daerah daftar akun klik kosong",-4,"Negatif"
"167","kalikantorlapor aplikasi kali lapor aplikasi tindak telepon kali riwayat terang dtangani selesai realdatangfu lapor solusi",-1,"Negatif"
"168","aplikasiokcmn tindakkurangmohon tindak laanjuti keluh langgan",-2,"Negatif"
"169","lambat penanganan ganggu",-2,"Negatif"
"170","lapor listrik daerah tanggap aplikasi beres sekal coba serius",-1,"Negatif"
"171","ajar",-1,"Negatif"
"172","aplikasi kontlobikin bocah mudah kesel gara aplikasi sial",-1,"Negatif"
"173","fast respon ganggu rugidownload aplikasimobileinstallinstall aplikasi",-1,"Negatif"
"174","pakai aplikasi lapor kendala kait rusak fast respon",-3,"Negatif"
"175","real kaya hasil lapor ganggusuai lapangandi status lapor nyala selesai lapang padam",-1,"Negatif"
"176","aplikasi eror",-1,"Negatif"
"177","menu merubahedit data hasil ubah data buruk",-1,"Negatif"
"178","ulas kinerja buruktindak lapor ganggu listrik rumah kalijam lapor ganggutugas lokasi tinggal kota besarjakarta pelosok daerah",-4,"Negatif"
"179","real kaya hasil lapor ganggusuai lapangandi status lapor nyala selesai lapang padam",-1,"Negatif"
"180","camat sungai bahar kabupaten muaro jambi mati lampusolusi rugi orang",-3,"Negatif"
"181","lapor ganggu ribetsering force close lapor tolong langgan ganggu mahal bayar ayan murah",-3,"Negatif"
"182","suruh udin download kawan hati sombong downloadmobile",-1,"Negatif"
"183","aplikasi rusak lapor versi",-2,"Negatif"
"184","desa kemaduh mati lampu rumah rtrwskrank",-2,"Negatif"
"185","masuk susah bangetsedang ganggu jaring terusmohon info",-2,"Negatif"
"186","tanggap lampu rumah mati tokenpulsa gara gara meteranya tulis periksa teus asli kecewa banget",-3,"Negatif"
"187","lapor tindaktulis selesai sala padam",-1,"Negatif"
"188","mantabklau sring mati listrikdan randublatungada stroomnetinternet biarantab",-1,"Negatif"
"189","malamtugas listrik entar malam buru mati",-1,"Negatif"
"190","ayan buruk listrik pdam lapor aplikasi riwayattbtb selesai datanfg heran nagihcepat gilir ganggu bantususah ampun ayan buruk",-5,"Negatif"
"191","lumayancuman susah masukloading",-1,"Negatif"
"192","ayan lapor padam lansung tindak respon pantau rumah listrik padam",-3,"Negatif"
"193","aplikasi langgan nyaman lapor kehandalan listrik",-1,"Negatif"
"194","lambat sekal responya",-1,"Negatif"
"195","bagus informasi suai butuh pribadi sadar aplikasi tahap kembangupaya berik ayan langgan moga keluhankeluhan langgan solusi tindak terimakasih",-2,"Negatif"
"196","beli token pakaiiniada nomr gagal token saldo debit kepotongmasingsaldo rugi syasolusinya",-2,"Negatif"
"197","eror benernya mohon tingkat",-1,"Negatif"
"198","bukamobile daftar kembalipadahal tugas catat meter bantu daftar sampaix foto profil koneksimobile foto tugas catat meter",-1,"Negatif"
"199","susah sekal diupdatenya",-1,"Negatif"
"200","please kayak orang stres naikin saklar mati eror kalilambat sekal jarak rumah kantorkota sidoarjo hujan kayak orang stres nyalain saklar mulunyala habis mati mndi susah setrika susah mogakali langsung gilir telatlangsung putus konfirmasi main putus",-12,"Negatif"
"201","ayanjelek kalititik selesai statusupdate pokok jelek mutu ayan parah",-1,"Negatif"
"202","chatjaring putus signal lancar",-1,"Negatif"
"203","erti keluh masyarakat",-1,"Negatif"
"204","menu lengkap monitor status mohon detail kompliti",-1,"Negatif"
"205","susah verifikasi akunpadahal gambarfokustpi",-1,"Negatif"
"206","update jelek susah masuklangganriwayat transaksi",-2,"Negatif"
"207","aplikasinotifikasi beli token berhasilkadang beli token gagalpadahal beli apajdi khawatirtagih bengkak",-1,"Negatif"
"208","thanksquick respon ulas menit ganti bintang saran apps perihal binding akun ewallet bentuk tutorial instal",-1,"Negatif"
"209","stimulus tokennya klaimdesember token klaim tanggal caricari alamat website whatsmobile mohon info",-1,"Negatif"
"210","puas aplikasi ribet",-1,"Negatif"
"211","real kaya hasil lapor ganggusuai lapangandi status lapor nyala selesai lapang padam",-1,"Negatif"
"212","tmpat sring mati harisya kasih bntang kalonormal mati kalo kndalakalo sdang pemeliharaan listrik kasih bntang",-2,"Negatif"
"213","hallooanehkalo totalin tagih biayatotalkali lipat",-1,"Negatif"
"214","bagus klaim langsung tuju proses klaim orang staff bumn anggap remeh masyarakatbppresiden reformasi mental",-3,"Negatif"
"215","daftar pasangtransfer masuk",-1,"Negatif"
"216","henti",-1,"Negatif"
"217","lapor ganggu ribetsering force close lapor tolong langgan ganggu mahal bayar ayan murah",-3,"Negatif"
"218","aplikasi buruk aplikasi ayan",-1,"Negatif"
"219","mantapcepat tanggap keluh masyarakat langsung ditanganiterima kasihmoga muas langgan",-1,"Negatif"
"220","daftarloginaneh email mulu daftar sekal aneh sumpah aneh",-2,"Negatif"
"221","bikinmobile listrik tokenpulsa nyala lapormobile lapor status selesaiditengokin teknisi status selesai haaddeeh",-1,"Negatif"
"222","listrik rumah lemot chatdaerah kagak respon taee",-2,"Negatif"
"223","download masuk susah sekal daftar email password",-2,"Negatif"
"224","sisa pulsarealtime fiturpulsa informasi tampillangganslow respon",-1,"Negatif"
"225","cepat layan kantor usir suruh laporemail laporemailrobot orang aplikasi email chat otomatis tolong main usir usir lempar lempar enggan layan bikin sistem robot otomatis",-6,"Negatif"
"226","metode pembelajaran debet mandiri debetpakai dululah edit alamat cantum tagih salah",-1,"Negatif"
"227","mantap listrik mati lapor langsung tindak kasih bintang",-1,"Negatif"
"228","versipeduli covidmohon informasi",-1,"Negatif"
"229","lihat tagih bayar pasca bayaraplikasi gagal",-1,"Negatif"
"230","terimah kasihsukaramelapor informasi menit kabar tugasmantab terimah kasih layan",-1,"Negatif"
"231","buruk error",-2,"Negatif"
"232","lihat tagih bayar pasca bayaraplikasi gagal",-1,"Negatif"
"233","usul mudahtoken prabayar cari token beli diinput meter listrik otomatis masuk praktiss salam",-1,"Negatif"
"234","coba test aplikasi iniklo ayandaerah baguskali listrik byar pettmalam kali mati dadakanmaka ncoba aplikasi respon",-1,"Negatif"
"235","daftar aplikasi susah bangetsandi akun daftar bisabisa sandi solusi",-2,"Negatif"
"236","aplikasi bohong",-1,"Negatif"
"237","mantapcepat tanggap keluh masyarakat langsung ditanganiterima kasihmoga muas langgan",-1,"Negatif"
"238","aplikasi bohong",-1,"Negatif"
"239","meter tulis periksa pagi malam lapor lwatkalimalam respon sekal alhasil paksa warung tutup padam parah ayan",-5,"Negatif"
"240","ayanbagus orang lapang kerja orang sopan omongseakanakan paksa ancamcard ragam surat tugassurat tugas bentak",-1,"Negatif"
"241","listrik habis beli token gagal mulu masuksolusi selesai selesai mata",-2,"Negatif"
"242","aplikasi bagus titik lokasi rumah akurat baca lokasi tera maps kompas akurasi keluhlanggan titik lokasi salah tolong",-3,"Negatif"
"243","parametertulis eror",-1,"Negatif"
"244","download masuk susah sekal daftar email password",-2,"Negatif"
"245","aplikasi eror saar verifikasi ambil fotodayadata tindaklanjut data ulang ulang layan primadigital maksimal layan offline kantor",-1,"Negatif"
"246","kali prosedur atur sedia aplikasi milik bumn",-1,"Negatif"
"247","terimakasih pelayanannyalistrik rumah nyala lagiberkat tugas dtang memperbaikinyasemoga kinerja kedepannyakritik saran tugas ayan service profesional disiplin jalan tugasnyadan tanggung hasil pekerjaannyaseblumnya maaf sdhx hubung langsung kantor plnuntuk layan",-1,"Negatif"
"248","menu chat lapor curi listrikgampang tanggap masyarakatcuri lapor aman",-3,"Negatif"
"249","listrik mati pagi kirim pesan mati mati bayar",-2,"Negatif"
"250","samar",-1,"Negatif"
"251","sayangmobile cari cewek",-1,"Negatif"
"252","suruh update susah update",-1,"Negatif"
"253","mohon kalo idpel blokir kompensasi tagih listrik berik pemberitahuan langgan",-2,"Negatif"
"254","hallooanehkalo totalin tagih biayatotalkali lipat",-1,"Negatif"
"255","tindak telepon call center hasil bayar telat keluh tanggap terima kasih",-1,"Negatif"
"256","kovid gagal cobanamtibintamya",-1,"Negatif"
"257","aplikasi payahtidak nampilkan nomer token hilang",-1,"Negatif"
"258","coba verifikasi akun susah langkah foto identitas gambar ciut tolong",-2,"Negatif"
"259","lengkap kota kabupaten",-1,"Negatif"
"260","errorsaat lapor keluhangangguan",-1,"Negatif"
"261","mohon maaf lapor bibik sabtu maret aplikasibibik pakai android hubungkirim nomer bibik aprilmerespon hubung merespon mohon ayan maksimal listrik rumah bibik ganggu trimakasih",-2,"Negatif"
"262","klaim",-1,"Negatif"
"263","usul mudahtoken prabayar cari token beli diinput meter listrik otomatis masuk praktiss salam",-1,"Negatif"
"264","tolong sedia fitur catat meter langgan pascabayar biar catat meter tanggal batas kadang lupa",-1,"Negatif"
"265","penangananya lambat",-1,"Negatif"
"266","alhmdllah begutu lapor langsungalhamdulillah lamputerang kerjaramah sopan",-1,"Negatif"
"267","henti",-1,"Negatif"
"268","terima kasih keluh meter listrik prabayar ditangani tugaslapang meter listrik ganti biayasemogamobile cepatsigap menangani keluh masyarakat",-2,"Negatif"
"269","ecek tagih masuklanggan dipaste",-1,"Negatif"
"270","suai maksud tolong aplikasi lambat",-1,"Negatif"
"271","respon lambat",-1,"Negatif"
"272","sayangkanadminnya besaruntk kelas aplikasiaplikasi sebelah biaya adminnyatinjau",-1,"Negatif"
"273","beli token aplikasi tolong gagal bayarhasil konfirmasidananyangkut esoklunas systemkayakjelek system",-1,"Negatif"
"274","bayar listrik kalo mati lampu mati lampu gilir bayar suruh cepatbayar mati lampu",-1,"Negatif"
"275","jelek errornya live chat muncul error servernya malas malesan",-3,"Negatif"
"276","kecewa",-1,"Negatif"
"277","aplikasi bagus mudah langgan informasi putar listrik",-1,"Negatif"
"278","listrik mati terusharixstatus laporregu penugasantapi tunggu datangpara tenishormat nyalatrus ditinggaldicari masalahnyabiar mati",-1,"Negatif"
"279","pakai aplikasi lapor kendala kait rusak fast respon",-3,"Negatif"
"280","status selesa nyala tugas ecek telepon kali pakai aplikasi tindak tolong tindak rumah padam",-3,"Negatif"
"281","teknisi profesional mati mati",-1,"Negatif"
"282","aplikasi promo srtoomnet klik layanmaksimal",-1,"Negatif"
"283","listrik mati pagi kirim pesan mati mati bayar",-2,"Negatif"
"284","lapor meter prabayar tulis periksa layan pasword tugas ngisi tunggu tugas",-1,"Negatif"
"285","ayan muas geratis listrik perpanjangtidakblasan sekal aplikasi mlhan bingung",-1,"Negatif"
"286","versipeduli covidmohon informasi",-1,"Negatif"
"287","mohon maaf lapor bibik sabtu maret aplikasibibik pakai android hubungkirim nomer bibik aprilmerespon hubung merespon mohon ayan maksimal listrik rumah bibik ganggu trimakasih",-2,"Negatif"
"288","oengajuan keluh listrik mati aplikasi tulis jalan lacak lokasi berubahd aplikasi tulis nyala kenyataanya padamaplikasi",-5,"Negatif"
"289","mobile bantu lapor keluh ganggu putar listrik jayaterang neger",-2,"Negatif"
"290","keluh",-1,"Negatif"
"291","ajar",-1,"Negatif"
"292","enakpraktis subsidi kena dampak korona orang orang tolong berlaku adil",-2,"Negatif"
"293","februari rumah kali mati lampu sebelah doang bayar listrik bayarjambu lurah kenanga cipindoh tangerang mohon ayan rutin",-3,"Negatif"
"294","lelet",-1,"Negatif"
"295","aplikasi keluh lapor kali teknisi konfirmasiphone status selesai",-2,"Negatif"
"296","detail aplikasi terdahulusetelah update info pemeliharaan adajadi salah langgan lampu padam komplainklo andai info pemeliharaanversi langgankomplain tidakitu masuk sayamohon",-1,"Negatif"
"297","ampas listrik mati lapor listrik mati claim nyala daerahjalur jalur nyala lancar mati bosan lapor",-7,"Negatif"
"298","terimakasih tanggap cepat rumah desa tugascari temu keluh meter terimakasih",-1,"Negatif"
"299","tolong cantum angka meter posisi catat kontrol dusta masyarakat bayar tagih pemakaianwajib layan nikmat nikmat hasil masyarakat",-1,"Negatif"
"300","terimakasih bantu cari informasi sampa keluh langgan",-2,"Negatif"
"301","benerin listrik pakai aplikasi cekik harga promonya murah lokasi mahal ampun",-1,"Negatif"
"302","mati lampu kali lapor sekal timbal balikx",-2,"Negatif"
"303","area kota malang muas respon pelayanannyabelumlapor ditangani",-1,"Negatif"
"304","uninstallulang kali gagal verifikasi akun foto selfie update sarannomor whatsterima keluh langgan biaya admin laku beli token aplikasi flip murah aplikasisimpul aplikasi terimakasih",-2,"Negatif"
"305","daftar email daftar parah",-3,"Negatif"
"306","kinerja lambat tugas tanggap lapor kait",-2,"Negatif"
"307","terimakasih bantu cari informasi sampa keluh langgan",-2,"Negatif"
"308","madam rumah tanggalbarusan lapang tugas terima kasih keperdulianlangganmasuk tugas teknis informasi langgan lapor masuk informasi maju",-1,"Negatif"
"309","habis update jafi eror",-1,"Negatif"
